review,sentiment
"I watched this film with a group of friends at the 1999 Melbourne International Film Festival and no-one had a good word for it.<br /><br />I happen to love Bluegrass and Country Music so it's not as if I'm unsympathetic to the subject matter. But the problem is that at heart it's a very conservative movie- little more than a filmed Mills and Boon story. A bodice-ripper of the most simple-minded and soppy kind.<br /><br />It's not just that the love story at its heart, that between Reece and Dr. Lily Penleric is more than a tad unbelievable. (Why any male would be attracted to the nostril-flaring man-devouring Lily is beyond me, and frankly, Mike Harding as Reece seems to be just going through the motions).<br /><br />It's simply that the whole movie is too tame and well-mannered for its own good. There is precious little danger, dirt or drama. Sure there's a moment of ""excitement"" involving a school run by Lily's younger sister, but this whole episode is funnier than it is dramatic (it's just so poorly written and acted). And the movie betrays its conservative agenda in the manner in which this subplot is resolved.<br /><br />As for good old Reece Kinkaid (now, what's wrong with a name like Eberneezer Bumpass?) I ask you! Is the ending of this film believable? Fitting in with the character this film had earlier constructed? I think not...",negative
"OK, so Mr. Agrama's company (which is involved in some dubious business with former Italian PM Silvio Berlusconi) produced a horrendous mish-mash by a Mr. Carl Macek.<br /><br />What is this horrendous mish-mash I'm talking about? Well, Macek took three entirely unrelated Japanese sci-fi animated series (namely, Macross, Southern Cross and Mospeada), added TONS of dialogue - believing firmly that the American audience is too dumb to understand the narrative and artistic virtue of silence - , edited the whole lot heavily for violent content, added some metaphysical mumbo jumbo, dubbed it using some of the worst voice actors this side of acting Hell (Reba West's singing was - and still is - unbearable and a total outrage, especially compared to Mrs. Mari Iijima)... And the result was an 85-episode series with hundreds of continuity problems and plot holes.<br /><br />Of course, the mecha were cool to look at (especially those in the ""Macross Saga"") and the plot parts that remained unscathed were good. But whatever was good about Robotech was not the result of Macek's work or the ""voice talents"" he recruited. It was because of the toils and efforts of the (uncredited - why? would I be too bold to accuse HG of plagiarism here?) Japanese creators. Those of us who eventually got wind of the real deal and compared the originals to Robotech now wish we had never been exposed to Robotech. The originals are so much better, naturally, and make a lot more sense.<br /><br />Robotech, however, DID something worthwhile: it prompted legendary anime creator Leiji Matsumoto to start a campaign for the protection of Japanese anime creators' intellectual property from such unauthorized and uncalled-for reworkings that talentless people like Carl Macek produce.",negative
"MPAA Rating PG-13<br /><br />My Rating: 10 and up<br /><br />My * Rating 9.5/10<br /><br />William H. Macy delivers a stunning performance as the role of Mr. Neuman. He makes you feel sympathetic and scared for him simultaniously. The story starts out as a comedy and slowly but steadily becomes almost like a horror film with twists and turns that Macy effortly masters. I couldn't take my eyes off this film even after it ended, and I couldn't beleive it ended when it did. A MUST TO SEE.<br /><br />THIS PARAGRAPH MAY BE CONSIDERED A SPOILER BY SOME<br /><br />After you watch the film, look at the plot this way: The Neumans are the United States as a whole, and the charactor Meat Loaf Aday plays is the people in the United States who are anti-Semetic.<br /><br />This was a very enjoyable film and would reccomend to anyone I saw in the street.",positive
"Hard Justice is an excellent action movie! The whole movie is really nothing but shooting and fighting but it does have a very good vampire plot! For the people who say they don't make shoot em ups and fighting films like they use to. Well, this one is really hard-core! Don 'The Dragon' Wilson is excellent and his character is really cool in the movie. Nicholas Guest was very good as well and he arguably steals the show! He really performs as a fantastic villain! Melanie Smith was also good. I think that this very fine looking actress is very underrated. Michael Cavanaugh was good. It was really cool to see Vince Murdocco in this film! As for the action, it is truly awesome with all of the gun fights and the super cool fighting scenes. The fighting in this picture is really some of the greatest I have seen! There is so much that happens in the 86 minute run time. For the action fans you will be blown away by all of the fire power and superb fighting that this film has to offer! Night Hunter is a movie that isn't easy to locate and if you are at a video store and you see it for sale buy it up because this movie is big keeper and plus the box is cool! There is a ton of action that has to be seen to be believed! Look and see if you can find some good deals on Ebay, Half.com, Amazon.com's Z-Shops and Market Place Sellers! In My opinion Night Hunter is one of the greatest fighting films that I have ever watched and the characters are so neat. If you like Don 'The Dragon' Wilson and want to see Nicholas Guest in a great performance then I strongly recommend that any action movie fan who loves shoot em ups, fighting movies, and vampire films and has been disappointed by other movies that has the look of a true non stop action flick but fails to deliver it to get and buy Night Hunter today!",positive
"Absolutely the very first film that scared me to death. I happened catch it when my older brother(r.i.p.) was watching it. It was on a black and white TV and not really a good picture but it got me interested. Shortly after, my folks bought a color set and, as luck would have it, The Million Dollar Movie was showing it one Sunday.<br /><br />I had forgotten most of the plot, but it did not take long to catch up...and I got so scared I had a hard time sleeping that night! I mean sure it was just a movie but it involved a creature that not only came from space, but you could not hear it, or see it...and once it got hold of you it was too late. Even now, after all this time it still sends a shiver up my spine. A true classic, and even better a classic that I have seen scare the pants off a new generation!<br /><br />Long live The Blob!",positive
"The material in this documentary is so powerful that it brought me to tears. Yes, tears I tell you. This popular struggle of a traditionally exploited population should inspire all of us to stand up for our rights, put forth the greater good of the community and stop making up cowardly excuses for not challenging the establishment. Chavez represents the weak and misfortunate in the same way Bush is the face of dirty corporations and capitalism ran amok. Indeed, Latin America is being reshaped and the marginalized majority is finally having a voice in over five centuries. Though, in the case of Mexico, the election was clearly stolen by Calderon. Chavez is not perfect, far from it. He's trying to change the constitution to allow him to rule indefinitely. That cannot be tolerated. Enough with the politics and back to the movie; The pace is breath taking at moments, and deeply philosophical at others. It portrays Chavez as a popular hero unafraid to challenge the US hegemony and domination of the world's resources. If you think the author is biased in favour of Chavez, nothing's stopping you from doing your homework. One crucial message of the film is questioning info sources, as was clearly demonstrated by the snippers casualties being shamefully blamed on Chavez's supporters. Venezuela puts American alleged democracy to shame. Hasta la revolucion siempre!",positive
"Considering all the teen films like ""the Breakfast Club"" and ""Pretty In Pink"" that are lionized. It is surprising that this one is so ignored.<br /><br />There is no sex in it, but sex is thought of, including the idea that it may matter what others think about it. The kids do not always get along with their parents, but neither the parents or the kids are seen as always right or wrong, and the parents are not seen as monsters.<br /><br />It deals with hero-worship. How one girl does a dangerous thing, which could have lead to real dustier, before realizing that she was wrong.<br /><br />The movie is kind of ahead of its' time. One kid asks another kid what birth control she uses. She says she is doing nothing to need birth control. She replies (wrongly) ""oral sex"".",positive
"So many consider The Black Cat as the best Karloff/Lugosi collaboration. I disagree. The Invisible Ray is their best. A great storyline, fantastic special effects, and classic Karloff over-acting. I love it!!",positive
"It seems no matter what I see her in, Christina Ricci seems full of promise but fails to deliver. Sure she can cry and scream, but Prozac Nation sees Ricci totally out of her depth, perhaps I'm being too harsh.... okay, I'm shifting the blame to the director. Jessica Lange is outrageous and almost reaches Faye Dunaway heights of megadramatisation. Unfortunately I think Lange peaked with Frances and it was all downhill from there. There was every chance of this film being slick and witty while tackling depression head on. What we get instead is poorly acted hysteria dressed up with a stereotypical try hard eighties veneer. I really had no sense of the films eighties backdrop, since I was unsatisfied with the lame attempt at making believe it was the eighties just because ms Ricci wears a madonna inspired dress to her ""lost my virginity"" celebration. Cmon everyone, you are ALL better than this. The filmmakers should hang their heads in shame, and as a result of disappointment, Elizabeth Wurtzel could probably make a bundle if she sued for ""irrepairable emotional damages"" as a result of the finished product. go on lizzie, sue! I would",negative
"I absolutely loved this movie. I bought it as soon as I could find a copy of it. This movie had so much emotion, and felt so real, I could really sympathize with the characters. Every time I watch it, the ending makes me cry. I can really identify with Busy Phillip's character, and how I would feel if the same thing had happened to me.<br /><br />I think that all high schools should show this movie, maybe it will keep people from wanting to do the same thing. I recommend this movie to everybody and anybody. Especially those who have been affected by any school shooting.<br /><br />It truly is one of the greatest movies of all time.",positive
"This movie sucks so bad. Its funny to see what a poor story this has, where two pea-brained American twins who know about nothing outside their school can come to another continent, and do unimaginable things there. Its just so stupid and so bizarre. How can they just find two French guys, hit on them and in the end kiss them, not knowing anything about them? More realistic would have been having the guys take them away and rape them, which could have easily happened in such a situation. As for the bit where they make the French President drink 'bad water', that was just lame. I don't think he would have been too pleased in real life. Everything worked out too easily for the girls, and they could have been in real trouble many times in the movie, if it at all depicted real life.<br /><br />My Rating : 0 / 10",negative
"Be warned: Neither Zeta-Jones nor McGregor plays the main part as the poster would have you believe. Their roles are in fact minor.<br /><br />The film stumbles badly between exaggerated comedy and realistic drama, with neither being really engaging. Especially I find it impossible to muster much sympathy for the main protagonist, not to mention his screwball friends and sex obsessed fiancé. The plot drags terribly, and I turned this one off after about 2/3 - unusual for me, as I like to finish what I start. The good acting and beautiful setting takes it from 1 to 2 stars.<br /><br />2/10",negative
"Straight from the brilliant mind of animation pioneer Wladyslaw Starewicz, ""Fétiche"", or ""The Mascot"" as it is known nowadays, stands as a masterpiece of stop-motion animation that sadly, has been almost forgotten by now. Nevertheless, the work of this man deserves to be seen, and in fact, must be seen to be believed because the outstanding way the animation flows is simply unbelievable.<br /><br />Decades before ""Toy Story"", Starewicz conceived the idea of moving toys, in ""Fétiche"", he tells the story of a small stuffed dog that gets makes friends with the sick daughter of his maker. One day, his maker takes him away to sell him, and the adventure begins as he tries to find his way back home. In his Odyssey, he'll travel from Paris to Hell, and will find the other toys that were supposed to be sold with him.<br /><br />It is a surreal experience to watch this movie, as Starewicz makes every imaginable creature come alive with grace and beauty. The other toys include a beautiful ballerina, who loves a thief, but she also is secretly loved by a clown, forming a love triangle; an old woman, a stuffed cat and a stuffed ape complete the group. every toy is so detailed and very expressive that without words one can understand their motives.<br /><br />Truly, the surreal atmosphere the whole animation has it is remarkable. It is hard to believe that a work of this magnitude was done in 1934 since it looks even better than most of the current day animation. The influence it has in modern day animator such as Tim Burton and Henry Selick is very significant.<br /><br />This short is a masterpiece of animation and the outstanding work of one genius who done everything by himself and that has influenced animators for decades. Starewicz's work is an immortal piece of art that should be seen by everyone. This work is not only for kids, adults as well will enjoy it and probably catch most of the subtext hidden in the movie.<br /><br />It is possible to find it in the ""Vampyr"" DVD as a bonus feature. Anyone with the slightest interest in animation should give it a look.",positive
"This movie features a gorgeous brunette named Danielle Petty. She has stunning green eyes, and is in the first few scenes and the last scene. She is the only thing about this movie that is not repulsive. She may not have a future as an actress, because this kind of movie is the kind of offensive disaster that kills careers.<br /><br />The movie itself has absolutely nothing to recommend it. It is not a good horror film, or a good fake journalistic report, or remotely well done. There is no skill apparent in it's production. It is like a bad student film. The story's horrific elements do not make you sick, it is the fact that it is so poorly done that makes you sick. I would give this movie ZERO stars if I could.",negative
"Perhaps it's about time we declare 2007 to be ""The International Year of the Cinematic Crocodile""! The ridiculous ""Primeval"" came first, about a croc named Gustave (!) ruling the swamps in Burundi. Then there was ""Lake Placid 2"", a low-profiled and made-for-TV sequel to a forgettable original. Thirdly, there's this incredibly derivative and soporific piece of Aussie horror and, finally, I have yet to see the promising ""Rogue"". The last one is likely to be the best, considering the involvement of the upcoming Aussie horror talent Greg McLean (""Wolf Creek""). ""Black Water"" certainly isn't a complete waste of time and film, but it's another pretty pointless survival flick that confuses real-life agony with horror. Pardon my bluntness, especially since I honestly feel sorry for the people who went through this ordeal, but depicting three characters sitting in a tree and whining for more than a full hour is not my idea of sheer suspense! Three young people travel through Northern Australia and decide to spend a day of fishing in the remote swamp areas. It doesn't take too long before a gigantic and ferocious crocodile capsizes their little boat and devours the guide. Grace, Lee and Adam barely manage to escape the reptile's hungry teeth by climbing up a tree. Even though he remains unseen most of the time, the croc patiently lies in waiting and makes it impossible for them to leave the swamp alive. Yes, it does sound an awful lot like the plot of ""Open Water"" indeed. Replace the numerous unseen sharks with one giant unseen crocodile and the open sea with an equally inescapable Aussie swamp, and there you have it. Oh well, ""Black Water"" at least features some rare moments of excitement and one impressively designed water monster. It has to be said, the croc looks fabulously groovy and you anxiously count down towards every next time he wildly emerges from the water. The three-headed cast does whatever they can to keep their characters interesting, but how do you achieve this by sitting in a tree the whole time? The based-on-true-events concept obviously causes a number of restrictions, like limited images of the fantastic filming locations, dialogs and amiable character drawings.",negative
"Well, what's wrong with the title ""Separate Lies"" (accused elsewhere of not being ""exciting""). It's cunning, subtle and a bit poetic. (Of course there's a Phil Collins song and a James Belushi film called ""Separate Lives"", which are alluded to here.) <br /><br />But the real point is the ethical dilemmas of telling lies at different levels that the film probes. OK, it's not an ""in-your-face"" hilarious title, but then it's not an in-your-face hilarious film. Please give British films like this a chance. They do try to make people think about important things, as here: how far do you go to protect your life (even if it is a bit rotten) against unexpected disaster. Maybe you tell lies. Maybe you ignore your loved ones' lies. That can wear a lot of people out. <br /><br />American movies on this theme are abundant, but they usually go much further by involving the use of firearms, which are not a part of everyday life here in Europe. <br /><br />Maybe we're not so ""exciting"" over here, but we don't expect slogan-like film titles for films that are not aimed at a massive public.",positive
"Dakota Incident is a curiosity for several reasons. It will be obvious from the start that it was made long before anyone ever thought of political correctness. Although, the Ward Bond character softens the edge with ""maybe we can communicate with them, after all they're humans, too"" type of dialogue. His part stands side-by-side with the preacher attemtping to communicate with the Martians in War of the Worlds. In fact, it's uncanny. The title is curious too. Use of the word ""Incident"" contributes an importance and sophistication to the film that probably didn't hurt boxoffice. The contrived assortment of characters and Linda Darnell's fancy dress and hat are wonderful dated touches that make Dakota Incident a cool western artifact from the mid-fifties.",positive
"As a low budget enterprise in which the filmmakers themselves are manufacturing and distributing the DVDs themselves, we perhaps shouldn't expect too much from Broken in disc form. And yet what's most remarkable about this whole achievement is the fact that this release comes with enough extras to shame a James Cameron DVD and a decidedly fine presentation.<br /><br />With regards to the latter, the only major flaw is that Broken comes with a non-anamorphic transfer. Otherwise we get the film in its original 1.85:1 ratio, demonstrating no technical flaws and looking pretty much as should be expected. Indeed, given Ferrari's hands on approach in putting this disc together you can pretty much guarantee such a fact.<br /><br />The same is also true of the soundtrack. Here we are offered both DD2.0 and DD5.1 mixes and whilst I'm uncertain as to which should be deemed the ""original"", the fact that Ferrari had an involvement in both means neither should be considered as inferior. Indeed, though the DD5.1 may offer a more atmosphere viewing experience owing to the manner in which it utilizes the score, both are equally fine and free of technical flaws.<br /><br />As for extras the disc is positively overwhelmed by them. Take a look at the sidebar on the right of the screen and you'll notice numerous commentaries, loads of featurettes and various galleries. Indeed, given the manner in which everything has been broken down into minute chunks rather than compiled into a lengthy documentary, there really is little to discuss. The 'Anatomy of a Stunt' featurette, for example, is exactly what it claims to be, and the same goes for the rest of pieces. As such we get coverage on pretty much ever aspect of Broken's pre-production, production and post-production. And whilst it may have been preferable to find them in a more easily digestible overall 'making of', in this manner we do get easy access to whatever special feature we may wish to view.<br /><br />Of the various pieces, then, it is perhaps only the commentaries which need any kind of discussion. Then again, there's also a predictable air to each of the chat tracks. The one involving the actors is overly jokey and doesn't take the film too seriously. Ferrari's pieces are incredibly enthusiastic about the whole thing. And the technical ones are, well, extremely technical. Of course, we also get some crossover with what's been covered elsewhere on the discs, but at only 19 minutes none of these pieces outstay their welcome. Indeed, all in all, a fine extras package.",positive
"Van Sant copies Hitchcock's masterpiece shot for shot including some modern facets: a walkman, and nudity from Anne Heche. Unless you have a strong desire to see Ms. Heche naked there is absolutely NO reason to see this film instead of the original. Hitchcock's masterpiece is much better and Van Sant fails to realize that in hiding the nudity and the gore, the original shower scene is all the more terrifying. Ask Janet Leigh about that one. The acting is also much flatter and the technical aspects much less impressive.",negative
"If I could say it was better than Gymkata, I at least felt my money was not totally wasted.<br /><br />Then I saw Steven Segal's On Deadly Ground.<br /><br />This movie should see a resurrection though on MST 3K. If Santa Claus Conquers the Martians could make Tom Servo's head explode, one wonders what mayhem this movie could cause.<br /><br />There is a very good reason why Kurt Thomas never had a movie career.<br /><br />The writers of this dreck should be forced to wear placards every day of their lives that say ""Bitch slap me! I was a writer on Gymkata.""",negative
"G&M started a the odd couple downstairs in Man About the House and went on to amusing the nation in their own sitcom.<br /><br />What was the typical small-scale personal charm of the couples chemistry on the small screen, G&M's transferral to the big screen was as appalling as genuis's Morcombe and Wise, and countless fine TV shows.<br /><br />Unfunny. Unsatisfying and featuring an ill Yootha Joyce who died before the film was released.",negative
"This is one of the best episodes of Doctor Who EVER. We have the Cybermen, The Cyber conversion units (May scare young children) and of coarse the Doctor doing one of his best acts. Bravo David Tennant. Good scenes as if it was a movie, with thrilling scenes in some streets, an invasion on the Cyberman's base, and leaving the world different to ours, basically a 45 minute movie.<br /><br />Being Part 2 of Rise of the Cybermen, this would never disappoint. With it having a great build up to the final.<br /><br />The Doctor plus an evil enemy (Daleks, Cybermen, Master, Sontarans, Davros, Autons, or even Macra) is a battle to the death, just be careful with young children watching this.",positive
"First of all, I personally adore Demons and Demons 2, I saw them although it was hard to find good horrors without good official movie distributing here in Russia when I was a kid, and that is an unchangeable part of my boyhood. Then I heard nothing about Mr Bava. Then I saw his Ghost Son. Well, it is certainly not a good coming back! Why was the leading character, whom we never really knew to at least like him, in accident in the middle of an empty road? Why do African servants say so dumb and stupid things about human soul? Why is the plot so primitive? Haven't we seen enough ghosts for 100 years of movie production? It is clear that Lamberto Bava has nothing to show us so far. It is a shame.",negative
"First off I am in my mid 40's. Been watchin horror films since I was a kid so I have seen A lot of variety. IMO,this is not as bad as the multitudes that gave this a 1 or 2. <br /><br />Yes,it is a low budget horror flick. The dialog is soso and acting tolerable,sometimes. The basis of this film plotwise is actually pretty good. For those of you old enough to remember or lucky enough to have seen them on DVD. This is very much like a 1970's movie of the week. Just add in blood and minor gore,minor T & A and swearing, without big names. That is it to a T. I would rather watch this than Jason vs Godzilla or whatever other continuois crap is out there. Tho not as good, EVIL DEAD was a LOW budget film. At least give these guys credit for trying. With acouple MIL budget this could have been a pretty good flick. My score a watchable 4.",negative
